idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
48067,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,35.0000,35.00000000,12098.8280
48069,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5981.7354
48069,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,5.0000,13.20000000,30520.2250
48070,200132,SPC Oferta ORGW102-13 6 mm -,31.0000,54.87000000,140423.1800
48071,19214,Flotante Krono Original Red River D-8156 Narrow -,6.0000,8.52000000,29217.6048
48071,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,7.0000,7.00000000,1782.6200
48072,20117,SPC Oferta Roble Hamburgo 2333 4 mm (0.3 wl) -,1.0000,2.70000000,7474.1287
48073,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,2.0000,5.28000000,11044.3410
48074,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,6.0000,6.00000000,35611.6409
48074,20223,SPC Roble Moscu 1101 (Max Core 2da Gen) 4.5 mm (0.,71.0000,129.93000000,487108.4114
48078,20223,SPC Roble Moscu 1101 (Max Core 2da Gen) 4.5 mm (0.,71.0000,129.93000000,487108.4114
48078,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,6.0000,6.00000000,35611.6409
48082,19424,Flotante Kronotex BlockWood D-3585 Dinamic -,84.0000,178.92000000,316658.2613
48082,18941,Flotante Kronotex Nevada Kiefer D-4127 Dinamic -,14.0000,29.82000000,52776.3769
48085,19812,SPC Roble Lyon 4 mm (0.3 wl) / Bisel -,53.0000,100.17000000,341779.2702
48085,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.5000,4.50000000,27950.3894
48086,20715,SPC Chene 8883 (Max Core 2da Generacion) Home (4mm,6.0000,15.84000000,63185.1600
48087,200176,SPC Oferta CDA190L-13X 4.7 mm -,14.0000,30.94000000,78388.2400
48088,200145,SPC Oferta JMW70604 - -,13.0000,32.11000000,90127.2372
48092,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,17.0000,44.88000000,125963.5400
48092,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14522.3200
48093,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,17.0000,44.88000000,125963.5400
48093,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14522.3200
48094,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,17.0000,44.88000000,125963.5400
48094,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14522.3200
48099,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17707.7910
48099,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,26.0000,68.64000000,156605.2826
48101,21521,Deck PVC Roble Gris T602 Colección Noble (Sin Pigm,69.0000,28.98000000,226087.7184
48102,21656,SPC Oferta 6172-1 4.2 mm (0.4 wl) -,2.0000,4.40000000,12343.5852
48102,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,11.0000,11.00000000,4067.9650
48103,20839,SPC Oxido 5083 (Max Core 2da Generacion) Home (4mm,1.0000,2.64000000,8700.5965
48111,200165,SPC Oferta JMW51903 5 mm (0.5 wl) -,18.0000,31.68000000,80246.2338
48114,200161,"SPC Oferta JMW53409 4,5 mm -",20.0000,34.80000000,81398.4000
48114,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10891.7400
48115,200165,SPC Oferta JMW51903 5 mm (0.5 wl) -,1.0000,1.76000000,4457.2324
48117,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,2.0000,5.28000000,12473.3544
48117,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,5.0000,5.00000000,1527.6855
48119,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,11.0000,29.04000000,67364.5281
48119,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,6001.3500
48119,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,3000.1950
48120,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,2.0000,5.28000000,12473.3544
48120,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,5.0000,5.00000000,1527.6855
48121,5228,Flotante Kronotex Nogal Rojo D-725 Dinamic -,6.0000,12.78000000,32003.6682
48124,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17688.1827
48124,21255,SPC Sacramento BLANCO 2333 AQUAblue (4mm + 0.3 wl),25.0000,67.50000000,183908.8550
48125,21099,SPC Roble Greenland 4 mm (0.3 wl) -,6.0000,12.30000000,42292.8127
48125,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3129.5607
48127,21098,SPC Roble Roma 4 mm (0.3 wl) -,6.0000,12.30000000,49063.5600
48129,17774,Mantos Ladix 3mmx0.80mmx1.25 mm - -,33.0000,33.00000000,9073.8449
48129,14735,Flotante Kronotex Malmo D-3584 Dinamic -,23.0000,48.99000000,124936.6819
48129,14691,Flotante Kronotex Roble Harbour D-3570 Exquisit An,5.0000,13.50000000,42786.6521
48132,200153,SPC Oferta WR313501 8 mm -,8.0000,16.40000000,41853.7344
48133,200161,"SPC Oferta JMW53409 4,5 mm -",20.0000,34.80000000,81398.4000
48133,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10891.7400
48134,200163,SPC Oferta JMS0701 5 mm (0.55 wl) -,20.0000,34.80000000,78336.6840
48134,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10478.9430
48135,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,38.0000,38.00000000,11341.9550
48135,19810,SPC Roble Munich (2319) 4 mm (0.3 wl) -,16.0000,43.20000000,119176.1424
48138,19401,LVT Roble Molly CLT-986 Chalet Clic -,10.0000,26.30000000,89144.0040
48138,19816,SPC Metz 4 mm (0.3 wl) / Bisel + EIR -,5.0000,17.70000000,57893.5990
48138,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11908.3024
48141,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,13820.8949
48141,20230,SPC Abeto 8881 (Max Core 2da Gen) 4 mm (0.3 wl) -,15.0000,39.60000000,150333.2901
48142,17013,Flotante Kronotex Brave D-4782 Exquisit -,30.0000,63.90000000,186129.5820
48143,200134,SPC Oferta CD196-06SM0332 3 mm -,2.0000,5.86000000,11396.1770
48143,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,1188.2880
48144,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,5.0000,5.00000000,28532.0000
48144,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,59.0000,111.51000000,339068.0086
